FINANCIAL_INSTITUTION_CODE,FINANCIAL_INSTITUTION_ID,FINANCIAL_INSTITUTION_NAME,COUNTRY_CODE,IS_CURRENT_FLAG,IS_DELETED_FLAG,VALID_FROM_DATETIME,VALID_TO_DATETIME
LFSAU,801,Latitude Finance Australia,AU,Y,N,1900-01-01,9999-12-31
LFSNZ,802,Latitude Financial Services Limited,NZ,Y,N,1900-01-01,9999-12-31
DQMapping,#NA,Source value cannot be mapped,DQMapping,Y,N,1900-01-01,9999-12-31
DQMissing,#NA,Source value not provided,DQMissing,Y,N,1900-01-01,9999-12-31
DQNotApplicable,#NA,Source value not provided,DQNotApplicable,Y,N,1900-01-01,9999-12-31
