CARD_TRANSACTION_FINANCIAL_STAGE,CARD_TRANSACTION_FINANCIAL_STAGE_CODE,CARD_TRANSACTION_FINANCIAL_STAGE_DESCRIPTION,IS_CURRENT_FLAG,IS_DELETED_FLAG,VALID_FROM_DATETIME,VALID_TO_DATETIME
DQMapping,DQMapping,Source value cannot be mapped,Y,N,1900-01-01,9999-12-31
DQMissing,DQMissing,Source value not provided,Y,N,1900-01-01,9999-12-31
DQNotApplicable,DQNotApplicable,Source value not required,Y,N,1900-01-01,9999-12-31
ARCV,ARCV,Account Receivable,Y,N,1900-01-01,9999-12-31
SMAC,SMAC,Special Mention Account,Y,N,1900-01-01,9999-12-31
PNPA,PNPA,Pre Non-Performing Account,Y,N,1900-01-01,9999-12-31
NPAC,NPAC,Non-Performing Account,Y,N,1900-01-01,9999-12-31
PRLO,PRLO,Profit Loss,Y,N,1900-01-01,9999-12-31
WROF,WROF,Write-off,Y,N,1900-01-01,9999-12-31
