BRAND_CODE,BRAND_ID,BRAND_NAME,FINANCIAL_INSTITUTION_CODE,IS_CURRENT_FLAG,IS_DELETED_FLAG,VALID_FROM_DATETIME,VALID_TO_DATETIME
LFSAU,010,LFS Own Brands AU,LFSAU,Y,N,1900-01-01,9999-12-31
DJNAU,011,David Jones,LFSAU,Y,N,1900-01-01,9999-12-31
LFSNZ,012,LFS Own Brands NZ,LFSNZ,Y,N,1900-01-01,9999-12-31
DQMapping,#NA,Source value cannot be mapped,DQMapping,Y,N,1900-01-01,9999-12-31
DQMissing,#NA,Source value not provided,DQMissing,Y,N,1900-01-01,9999-12-31
DQNotApplicable,#NA,Source value not provided,DQNotApplicable,Y,N,1900-01-01,9999-12-31
