"MERCHANT_CATEGORY_CODE","MERCHANT_CATEGORY_DESCRIPTION","IS_CURRENT_FLAG","IS_DELETED_FLAG","VALID_FROM_DATETIME","VALID_TO_DATETIME"
"3544","Ciga Hotels","Y","N","1900-01-01","9999-12-31"
"3545","Shangri-La International","Y","N","1900-01-01","9999-12-31"
"3546","Hotel Sierra","Y","N","1900-01-01","9999-12-31"
"3547","Breakers Resort","Y","N","1900-01-01","9999-12-31"
"3548","Hoteles Melia","Y","N","1900-01-01","9999-12-31"
"3549","Auberge Des Governeurs","Y","N","1900-01-01","9999-12-31"
"3550","Regal 8 Inns","Y","N","1900-01-01","9999-12-31"
"3551","Mirage Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3552","Coast Hotels","Y","N","1900-01-01","9999-12-31"
"3553","Park Inns International","Y","N","1900-01-01","9999-12-31"
"3554","Pinehurst Resort","Y","N","1900-01-01","9999-12-31"
"3555","Treasure Island Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3556","Barton Creek Resort","Y","N","1900-01-01","9999-12-31"
"3557","Manhattan East Suite Hotels","Y","N","1900-01-01","9999-12-31"
"3558","Jolly Hotels","Y","N","1900-01-01","9999-12-31"
"3559","Candlewood Suites","Y","N","1900-01-01","9999-12-31"
"3560","Aladdin Resort and Casino","Y","N","1900-01-01","9999-12-31"
"3561","Golden Nugget","Y","N","1900-01-01","9999-12-31"
"3562","Comfort Inns","Y","N","1900-01-01","9999-12-31"
"3563","Journey’s End Motels","Y","N","1900-01-01","9999-12-31"
"3564","Sam’s Town Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3565","Relax Inns","Y","N","1900-01-01","9999-12-31"
"3566","Garden Place Hotel","Y","N","1900-01-01","9999-12-31"
"3567","Soho Grand Hotel","Y","N","1900-01-01","9999-12-31"
"3568","Ladbroke Hotels","Y","N","1900-01-01","9999-12-31"
"3569","Tribeca Grand Hotel","Y","N","1900-01-01","9999-12-31"
"3570","Forum Hotels","Y","N","1900-01-01","9999-12-31"
"3571","Grand Wailea Resort","Y","N","1900-01-01","9999-12-31"
"3572","Miyako Hotels","Y","N","1900-01-01","9999-12-31"
"3573","Sandman Hotels","Y","N","1900-01-01","9999-12-31"
"3574","Venture Inns","Y","N","1900-01-01","9999-12-31"
"3575","Vagabond Hotels","Y","N","1900-01-01","9999-12-31"
"3576","La Quinta Resort","Y","N","1900-01-01","9999-12-31"
"3577","Mandarin Oriental Hotel","Y","N","1900-01-01","9999-12-31"
"3578","Frankenmuth Bavarian","Y","N","1900-01-01","9999-12-31"
"3579","Hotel Mercure","Y","N","1900-01-01","9999-12-31"
"3580","Hotel Del Coronado","Y","N","1900-01-01","9999-12-31"
"3581","Delta Hotel","Y","N","1900-01-01","9999-12-31"
"3582","California Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3583","Radisson Blu","Y","N","1900-01-01","9999-12-31"
"3584","Princess Hotels International","Y","N","1900-01-01","9999-12-31"
"3585","Hungar Hotels","Y","N","1900-01-01","9999-12-31"
"3586","Sokos Hotels","Y","N","1900-01-01","9999-12-31"
"3587","Doral Hotels","Y","N","1900-01-01","9999-12-31"
"3588","Helmsley Hotels","Y","N","1900-01-01","9999-12-31"
"3589","Doral Golf Resort","Y","N","1900-01-01","9999-12-31"
"3590","Fairmont Hotels","Y","N","1900-01-01","9999-12-31"
"3591","Sonesta Hotels","Y","N","1900-01-01","9999-12-31"
"3592","Omni Hotels","Y","N","1900-01-01","9999-12-31"
"3593","Cunard Hotels","Y","N","1900-01-01","9999-12-31"
"3594","Arizona Biltmore","Y","N","1900-01-01","9999-12-31"
"3595","Hospitality Inns","Y","N","1900-01-01","9999-12-31"
"3596","Wynn Las Vegas","Y","N","1900-01-01","9999-12-31"
"3597","Riverside Resort Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3598","Regent International Hotels","Y","N","1900-01-01","9999-12-31"
"3599","Pannonia Hotels","Y","N","1900-01-01","9999-12-31"
"3600","Saddlebrook Resort Tampa","Y","N","1900-01-01","9999-12-31"
"3601","Tradewinds Resorts","Y","N","1900-01-01","9999-12-31"
"3602","Hudson Hotel","Y","N","1900-01-01","9999-12-31"
"3603","Noah’s Hotels","Y","N","1900-01-01","9999-12-31"
"3604","Hilton Garden Inn","Y","N","1900-01-01","9999-12-31"
"3605","Jurys Doyle Hotel Group","Y","N","1900-01-01","9999-12-31"
"3606","Jefferson Hotel","Y","N","1900-01-01","9999-12-31"
"3607","Fontainebleau Resorts","Y","N","1900-01-01","9999-12-31"
"3608","Gaylord Opryland","Y","N","1900-01-01","9999-12-31"
"3609","Gaylord Palms","Y","N","1900-01-01","9999-12-31"
"3610","Gaylord Texan","Y","N","1900-01-01","9999-12-31"
"3611","Lodging Establishment - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3612","Moevenpick Hotels","Y","N","1900-01-01","9999-12-31"
"3613","Microtel Inns & Suites","Y","N","1900-01-01","9999-12-31"
"3614","Americinn","Y","N","1900-01-01","9999-12-31"
"3615","Travelodge","Y","N","1900-01-01","9999-12-31"
"3616","Hermitage Hotel","Y","N","1900-01-01","9999-12-31"
"3617","America’s Best Value Inn","Y","N","1900-01-01","9999-12-31"
"3618","Great Wolf","Y","N","1900-01-01","9999-12-31"
"3619","Aloft","Y","N","1900-01-01","9999-12-31"
"3620","Binion’s Horseshoe Club","Y","N","1900-01-01","9999-12-31"
"3621","Extended Stay","Y","N","1900-01-01","9999-12-31"
"3622","Merlin Hotels","Y","N","1900-01-01","9999-12-31"
"3623","Dorint Hotels","Y","N","1900-01-01","9999-12-31"
"3624","Lady Luck Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3625","Hotel Universale","Y","N","1900-01-01","9999-12-31"
"3626","Studio Plus","Y","N","1900-01-01","9999-12-31"
"3627","Extended Stay America","Y","N","1900-01-01","9999-12-31"
"3628","Excalibur Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3629","Dan Hotels","Y","N","1900-01-01","9999-12-31"
"3630","Tokyu Hotels","Y","N","1900-01-01","9999-12-31"
"3631","Sleep Inn","Y","N","1900-01-01","9999-12-31"
"3632","The Phoenician","Y","N","1900-01-01","9999-12-31"
"3633","Rank Hotels","Y","N","1900-01-01","9999-12-31"
"3634","Swissotel","Y","N","1900-01-01","9999-12-31"
"3635","Reso Hotels","Y","N","1900-01-01","9999-12-31"
"3636","Sarova Hotels","Y","N","1900-01-01","9999-12-31"
"3637","Ramada Inns","Y","N","1900-01-01","9999-12-31"
"3638","Howard Johnson","Y","N","1900-01-01","9999-12-31"
"3639","Mount Charlotte Thistle","Y","N","1900-01-01","9999-12-31"
"3640","Hyatt Hotels","Y","N","1900-01-01","9999-12-31"
"3641","Sofitel Hotels","Y","N","1900-01-01","9999-12-31"
"3642","Novotel Hotels","Y","N","1900-01-01","9999-12-31"
"3643","Steigenberger Hotels","Y","N","1900-01-01","9999-12-31"
"3644","Econo Lodges","Y","N","1900-01-01","9999-12-31"
"3645","Queens Moat Houses","Y","N","1900-01-01","9999-12-31"
"3646","Swallow Hotels","Y","N","1900-01-01","9999-12-31"
"3647","Husa Hotels","Y","N","1900-01-01","9999-12-31"
"3648","De Vere Hotels","Y","N","1900-01-01","9999-12-31"
"3649","Radisson Hotels","Y","N","1900-01-01","9999-12-31"
"3650","Red Roof Inns","Y","N","1900-01-01","9999-12-31"
"3651","Imperial London Hotel","Y","N","1900-01-01","9999-12-31"
"3652","Embassy Hotels","Y","N","1900-01-01","9999-12-31"
"3653","Penta Hotels","Y","N","1900-01-01","9999-12-31"
"3654","Loews Hotels","Y","N","1900-01-01","9999-12-31"
"3655","Scandic Hotels","Y","N","1900-01-01","9999-12-31"
"3656","Sara Hotels","Y","N","1900-01-01","9999-12-31"
"3657","Oberoi Hotels","Y","N","1900-01-01","9999-12-31"
"3658","New Otani Hotels","Y","N","1900-01-01","9999-12-31"
"3659","Taj Hotels International","Y","N","1900-01-01","9999-12-31"
"3660","Knights Inns","Y","N","1900-01-01","9999-12-31"
"3661","Metropole Hotels","Y","N","1900-01-01","9999-12-31"
"3662","Circus Circus Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3663","Hoteles El Presidente","Y","N","1900-01-01","9999-12-31"
"3664","Flag Inn","Y","N","1900-01-01","9999-12-31"
"3665","Hampton Inns","Y","N","1900-01-01","9999-12-31"
"3666","Stakis Hotels","Y","N","1900-01-01","9999-12-31"
"3667","Luxor Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3668","Maritim Hotels","Y","N","1900-01-01","9999-12-31"
"3669","Eldorado Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3670","Arcade Hotels","Y","N","1900-01-01","9999-12-31"
"3671","Arctia Hotels","Y","N","1900-01-01","9999-12-31"
"3672","Campanile Hotels","Y","N","1900-01-01","9999-12-31"
"3673","Ibusz Hotels","Y","N","1900-01-01","9999-12-31"
"3674","Rantasipi Hotels","Y","N","1900-01-01","9999-12-31"
"3675","Interhotel Cedok","Y","N","1900-01-01","9999-12-31"
"3676","Monte Carlo Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3677","Climat De France Hotels","Y","N","1900-01-01","9999-12-31"
"3678","Cumulus Hotels","Y","N","1900-01-01","9999-12-31"
"3679","Silver Legacy Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3680","Hoteis Othan","Y","N","1900-01-01","9999-12-31"
"3681","Adams Mark Hotels","Y","N","1900-01-01","9999-12-31"
"3682","Sahara Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3683","Bradbury Suites","Y","N","1900-01-01","9999-12-31"
"3684","Budget Host Inns","Y","N","1900-01-01","9999-12-31"
"3685","Budgetel Inns","Y","N","1900-01-01","9999-12-31"
"3686","Susse Chalet","Y","N","1900-01-01","9999-12-31"
"3687","Clarion Hotels","Y","N","1900-01-01","9999-12-31"
"3688","Compri Hotels","Y","N","1900-01-01","9999-12-31"
"3689","Consort Hotels","Y","N","1900-01-01","9999-12-31"
"3690","Courtyard By Marriott","Y","N","1900-01-01","9999-12-31"
"3691","Dillon Inns","Y","N","1900-01-01","9999-12-31"
"3692","Doubletree Hotels","Y","N","1900-01-01","9999-12-31"
"3693","Drury Inns","Y","N","1900-01-01","9999-12-31"
"3694","Economy Inns of America","Y","N","1900-01-01","9999-12-31"
"3695","Embassy Suites","Y","N","1900-01-01","9999-12-31"
"3696","Exel Inns","Y","N","1900-01-01","9999-12-31"
"3697","Fairfield Hotels","Y","N","1900-01-01","9999-12-31"
"3698","Harley Hotels","Y","N","1900-01-01","9999-12-31"
"3699","Midway Motor Lodge","Y","N","1900-01-01","9999-12-31"
"3700","Motel 6","Y","N","1900-01-01","9999-12-31"
"3701","La Mansion Del Rio","Y","N","1900-01-01","9999-12-31"
"3702","The Registry Hotels","Y","N","1900-01-01","9999-12-31"
"3703","Residence Inns","Y","N","1900-01-01","9999-12-31"
"3704","Royce Hotels","Y","N","1900-01-01","9999-12-31"
"3705","Sandman Inns","Y","N","1900-01-01","9999-12-31"
"3706","Shilo Inns","Y","N","1900-01-01","9999-12-31"
"3707","Shoney’s Inns","Y","N","1900-01-01","9999-12-31"
"3708","Virgin River Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3709","Super 8 Motels","Y","N","1900-01-01","9999-12-31"
"3710","The Ritz-Carlton","Y","N","1900-01-01","9999-12-31"
"3711","Flag Inns (Australia)","Y","N","1900-01-01","9999-12-31"
"3712","Buffalo Bill’s Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3713","Quality Pacific Hotel","Y","N","1900-01-01","9999-12-31"
"3714","Four Seasons Hotel (Australia)","Y","N","1900-01-01","9999-12-31"
"3715","Fairfield Inn","Y","N","1900-01-01","9999-12-31"
"3716","Carlton Hotels","Y","N","1900-01-01","9999-12-31"
"3717","City Lodge Hotels","Y","N","1900-01-01","9999-12-31"
"3718","Karos Hotels","Y","N","1900-01-01","9999-12-31"
"3719","Protea Hotels","Y","N","1900-01-01","9999-12-31"
"3720","Southern Sun Hotels","Y","N","1900-01-01","9999-12-31"
"3721","Hilton Conrad","Y","N","1900-01-01","9999-12-31"
"3722","Wyndham","Y","N","1900-01-01","9999-12-31"
"3723","Rica Hotels","Y","N","1900-01-01","9999-12-31"
"3724","Inter Nor Hotels","Y","N","1900-01-01","9999-12-31"
"3725","Sea Pines Resort","Y","N","1900-01-01","9999-12-31"
"3726","Rio Suites","Y","N","1900-01-01","9999-12-31"
"3727","Broadmoor Hotel","Y","N","1900-01-01","9999-12-31"
"3728","Bally’s Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3729","John Ascuaga’s Nugget","Y","N","1900-01-01","9999-12-31"
"3730","Mgm Grand Hotel","Y","N","1900-01-01","9999-12-31"
"3731","Harrah’s Hotels and Casinos","Y","N","1900-01-01","9999-12-31"
"3732","Opryland Hotel","Y","N","1900-01-01","9999-12-31"
"3733","Boca Raton Resort","Y","N","1900-01-01","9999-12-31"
"3734","Harvey/bristol Hotels","Y","N","1900-01-01","9999-12-31"
"3735","Masters Economy Inns","Y","N","1900-01-01","9999-12-31"
"3736","Colorado Belle/edgewater Resort","Y","N","1900-01-01","9999-12-31"
"3737","Riviera Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3738","Tropicana Resort & Casino","Y","N","1900-01-01","9999-12-31"
"3739","Woodside Hotels & Resorts","Y","N","1900-01-01","9999-12-31"
"3740","Towneplace Suites","Y","N","1900-01-01","9999-12-31"
"3741","Millennium Hotels","Y","N","1900-01-01","9999-12-31"
"3742","Club Med","Y","N","1900-01-01","9999-12-31"
"3743","Biltmore Hotel & Suites","Y","N","1900-01-01","9999-12-31"
"3744","Carefree Resorts","Y","N","1900-01-01","9999-12-31"
"3745","St. Regis Hotel","Y","N","1900-01-01","9999-12-31"
"3746","The Eliot Hotel","Y","N","1900-01-01","9999-12-31"
"3747","Clubcorp/clubresorts","Y","N","1900-01-01","9999-12-31"
"3748","Wellesley Inns","Y","N","1900-01-01","9999-12-31"
"3749","The Beverly Hills Hotel","Y","N","1900-01-01","9999-12-31"
"3750","Crowne Plaza Hotels","Y","N","1900-01-01","9999-12-31"
"3751","Homewood Suites","Y","N","1900-01-01","9999-12-31"
"3752","Peabody Hotels","Y","N","1900-01-01","9999-12-31"
"3753","Greenbriar Resorts","Y","N","1900-01-01","9999-12-31"
"3754","Amelia Island Plantation","Y","N","1900-01-01","9999-12-31"
"3755","The Homestead","Y","N","1900-01-01","9999-12-31"
"3756","Toyoko Inn","Y","N","1900-01-01","9999-12-31"
"3757","Canyon Ranch","Y","N","1900-01-01","9999-12-31"
"3758","Kahala Mandarin Oriental Hotel","Y","N","1900-01-01","9999-12-31"
"3759","The Orchid At Mauna Lani","Y","N","1900-01-01","9999-12-31"
"3760","Halekulani Hotel/waikiki Parc","Y","N","1900-01-01","9999-12-31"
"3761","Primadonna Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3762","Whiskey Pete’s Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3763","Chateau Elan Winery and Resort","Y","N","1900-01-01","9999-12-31"
"3764","Beau Rivage Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3765","Bellagio","Y","N","1900-01-01","9999-12-31"
"3766","Fremont Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3767","Main Street Station Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3768","Silver Star Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3769","Stratosphere Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3770","Springhill Suites","Y","N","1900-01-01","9999-12-31"
"3771","Caesar’s Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3772","Nemacolin Woodlands","Y","N","1900-01-01","9999-12-31"
"3773","The Venetian Resort Hotel Casino","Y","N","1900-01-01","9999-12-31"
"3774","New York-New York Hotel and Casino","Y","N","1900-01-01","9999-12-31"
"3775","Sands Resort","Y","N","1900-01-01","9999-12-31"
"3776","Nevele Grand Resort and Country Club","Y","N","1900-01-01","9999-12-31"
"3777","Mandalay Bay Resort","Y","N","1900-01-01","9999-12-31"
"3778","Four Points Hotels","Y","N","1900-01-01","9999-12-31"
"3779","W Hotels","Y","N","1900-01-01","9999-12-31"
"3780","Disney Resorts","Y","N","1900-01-01","9999-12-31"
"3781","Patricia Grand Resort Hotels","Y","N","1900-01-01","9999-12-31"
"3782","Rosen Hotels and Resorts","Y","N","1900-01-01","9999-12-31"
"3783","Town and Country Resort & Convention Center","Y","N","1900-01-01","9999-12-31"
"3784","First Hospitality Hotels","Y","N","1900-01-01","9999-12-31"
"3785","Outrigger Hotels and Resorts","Y","N","1900-01-01","9999-12-31"
"3786","Ohana Hotels of Hawaii","Y","N","1900-01-01","9999-12-31"
"3787","Caribe Royale Resorts","Y","N","1900-01-01","9999-12-31"
"3788","Ala Moana Hotel","Y","N","1900-01-01","9999-12-31"
"3789","Smuggler’s Notch Resort","Y","N","1900-01-01","9999-12-31"
"3790","Raffles Hotels","Y","N","1900-01-01","9999-12-31"
"3791","Staybridge Suites","Y","N","1900-01-01","9999-12-31"
"3792","Claridge Casino Hotel","Y","N","1900-01-01","9999-12-31"
"3793","Flamingo Hotels","Y","N","1900-01-01","9999-12-31"
"3794","Grand Casino Hotels","Y","N","1900-01-01","9999-12-31"
"3795","Paris Las Vegas Hotel","Y","N","1900-01-01","9999-12-31"
"3796","Peppermill Hotel Casino","Y","N","1900-01-01","9999-12-31"
"3797","Atlantic City Hilton Resorts","Y","N","1900-01-01","9999-12-31"
"3798","Embassy Vacation Resort","Y","N","1900-01-01","9999-12-31"
"3799","Hale Koa Hotel","Y","N","1900-01-01","9999-12-31"
"3800","Homestead Suites","Y","N","1900-01-01","9999-12-31"
"3801","Wilderness Hotel and Resort","Y","N","1900-01-01","9999-12-31"
"3802","The Palace Hotel","Y","N","1900-01-01","9999-12-31"
"3803","Lodging Establishment - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3804","Lodging Establishment - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3805","The Atlantic","Y","N","1900-01-01","9999-12-31"
"3806","Lodging Establishment - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3807","Element","Y","N","1900-01-01","9999-12-31"
"3808","Lxr","Y","N","1900-01-01","9999-12-31"
"3809","Lodging Establishment - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3810","La Costa Resort","Y","N","1900-01-01","9999-12-31"
"3811","Premier Inn","Y","N","1900-01-01","9999-12-31"
"3812","Hyatt Place","Y","N","1900-01-01","9999-12-31"
"3813","Hotel Indigo","Y","N","1900-01-01","9999-12-31"
"3814","The Roosevelt Hotel Ny","Y","N","1900-01-01","9999-12-31"
"3815","Nickelodeon Family Suites By Holiday Inn","Y","N","1900-01-01","9999-12-31"
"3816","Home2suites","Y","N","1900-01-01","9999-12-31"
"3817","Lodging Establishment - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3818","Mainstay Suites","Y","N","1900-01-01","9999-12-31"
"3819","Oxford Suites","Y","N","1900-01-01","9999-12-31"
"3820","Jumeirah Essex House","Y","N","1900-01-01","9999-12-31"
"3821","Caribe Royale","Y","N","1900-01-01","9999-12-31"
"3822","Crossland","Y","N","1900-01-01","9999-12-31"
"3823","Grand Sierra Resort","Y","N","1900-01-01","9999-12-31"
"3824","Aria","Y","N","1900-01-01","9999-12-31"
"3825","Vdara","Y","N","1900-01-01","9999-12-31"
"3826","Autograph","Y","N","1900-01-01","9999-12-31"
"3827","Galt House","Y","N","1900-01-01","9999-12-31"
"3828","Cosmopolitan of Las Vegas","Y","N","1900-01-01","9999-12-31"
"3829","Country Inn By Radisson","Y","N","1900-01-01","9999-12-31"
"3830","Park Plaza Hotel","Y","N","1900-01-01","9999-12-31"
"3831","Waldorf","Y","N","1900-01-01","9999-12-31"
"3832","Curio Hotels","Y","N","1900-01-01","9999-12-31"
"3833","Canopy","Y","N","1900-01-01","9999-12-31"
"3834","Baymont Inn & Suites","Y","N","1900-01-01","9999-12-31"
"3835","Dolce Hotels and Resorts","Y","N","1900-01-01","9999-12-31"
"3836","Hawthorn By Wyndham","Y","N","1900-01-01","9999-12-31"
"3837","Hoshino Resorts","Y","N","1900-01-01","9999-12-31"
"3838","Kimpton Hotels","Y","N","1900-01-01","9999-12-31"
"3839","Kyoritsu Hotels","Y","N","1900-01-01","9999-12-31"
"3840","Rio Hotels","Y","N","1900-01-01","9999-12-31"
"3841","Tribute Portfolio","Y","N","1900-01-01","9999-12-31"
"3842","Marriot Executive Apartments","Y","N","1900-01-01","9999-12-31"
"3843","Moxy","Y","N","1900-01-01","9999-12-31"
"3844","Ac Hotels","Y","N","1900-01-01","9999-12-31"
"3845","Bulgari","Y","N","1900-01-01","9999-12-31"
"3846","The Luxury Collection","Y","N","1900-01-01","9999-12-31"
"3847","JW Marriot","Y","N","1900-01-01","9999-12-31"
"3848","Edition","Y","N","1900-01-01","9999-12-31"
"3849","Minacia","Y","N","1900-01-01","9999-12-31"
"3850","Breezbay Group","Y","N","1900-01-01","9999-12-31"
"3851","Candeo Hotels","Y","N","1900-01-01","9999-12-31"
"3852","Core Global Management Hotels and Resorts","Y","N","1900-01-01","9999-12-31"
"3853","Granbell Hotels and Resorts","Y","N","1900-01-01","9999-12-31"
"4011","Railroads","Y","N","1900-01-01","9999-12-31"
"4111","Local and Suburban Commuter Passenger Transportation, including Ferries","Y","N","1900-01-01","9999-12-31"
"4112","Passenger Railways","Y","N","1900-01-01","9999-12-31"
"4119","Ambulance Services","Y","N","1900-01-01","9999-12-31"
"4121","Taxicabs and Limousines","Y","N","1900-01-01","9999-12-31"
"4131","Bus Lines","Y","N","1900-01-01","9999-12-31"
"4214","Motor Freight Carriers and Trucking – Local and Long Distance, Moving and Storage Companies, and Local Delivery","Y","N","1900-01-01","9999-12-31"
"4215","Courier Services – Air and Ground, and Freight Forwarders","Y","N","1900-01-01","9999-12-31"
"4225","Public Warehousing and Storage – Farm Products, Refrigerated Goods, Household Goods, and Storage","Y","N","1900-01-01","9999-12-31"
"4411","Steamship and Cruise Lines","Y","N","1900-01-01","9999-12-31"
"4457","Boat Rentals and Leasing","Y","N","1900-01-01","9999-12-31"
"4468","Marinas, Marine Service, and Supplies","Y","N","1900-01-01","9999-12-31"
"4511","Airlines and Air Carriers (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"4582","Airports, Flying Fields, and Airport Terminals","Y","N","1900-01-01","9999-12-31"
"4722","Travel Agencies and Tour Operators","Y","N","1900-01-01","9999-12-31"
"4723","Package Tour Operators – Germany Only","Y","N","1900-01-01","9999-12-31"
"4761","Telemarketing of Travel-Related Services and Vitamins","Y","N","1900-01-01","9999-12-31"
"4784","Tolls and Bridge Fees","Y","N","1900-01-01","9999-12-31"
"4789","Transportation Services (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"4812","Telecommunication Equipment and Telephone Sales","Y","N","1900-01-01","9999-12-31"
"4813","Key-Entry Telecom Merchant Providing Single Local and Long-Distance Phone Calls using a Central Access Number","Y","N","1900-01-01","9999-12-31"
"4814","Telecommunication Services, including Local and Long-Distance Calls, Credit Card Calls, Calls Through Use of Magnetic-","Y","N","1900-01-01","9999-12-31"
"4815","Telecommunication Services - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"4816","Computer Network/information Services","Y","N","1900-01-01","9999-12-31"
"4821","Telegraph Services","Y","N","1900-01-01","9999-12-31"
"4829","Money Transfer","Y","N","1900-01-01","9999-12-31"
"4899","Cable, Satellite and Other Pay Television/radio/streaming Services","Y","N","1900-01-01","9999-12-31"
"4900","Utilities – Electric, Gas, Water, and Sanitary","Y","N","1900-01-01","9999-12-31"
"5013","Motor Vehicle Supplies and New Parts","Y","N","1900-01-01","9999-12-31"
"5021","Office and Commercial Furniture","Y","N","1900-01-01","9999-12-31"
"5039","Construction Materials (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"5044","Photographic, Photocopy, Microfilm Equipment and Supplies","Y","N","1900-01-01","9999-12-31"
"5045","Computers and Computer Peripheral Equipment and Software","Y","N","1900-01-01","9999-12-31"
"5046","Commercial Equipment (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"5047","Medical, Dental, Ophthalmic and Hospital Equipment and Supplies","Y","N","1900-01-01","9999-12-31"
"5051","Metal Service Centers and Offices","Y","N","1900-01-01","9999-12-31"
"5065","Electrical Parts and Equipment","Y","N","1900-01-01","9999-12-31"
"5072","Hardware, Equipment and Supplies","Y","N","1900-01-01","9999-12-31"
"5074","Plumbing and Heating Equipment and Supplies","Y","N","1900-01-01","9999-12-31"
"5085","Industrial Supplies (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"5094","Precious Stones and Metals, Watches and Jewelry","Y","N","1900-01-01","9999-12-31"
"5099","Durable Goods (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"5111","Stationery, Office Supplies, Printing and Writing Paper","Y","N","1900-01-01","9999-12-31"
"5122","Drugs, Drug Proprietaries, and Druggist Sundries","Y","N","1900-01-01","9999-12-31"
"5131","Piece Goods, Notions, and Other Dry Goods","Y","N","1900-01-01","9999-12-31"
"5137","Men’s, Women’s, and Children’s Uniforms and Commercial Clothing","Y","N","1900-01-01","9999-12-31"
"5139","Commercial Footwear","Y","N","1900-01-01","9999-12-31"
"5169","Chemicals and Allied Products (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"5172","Petroleum and Petroleum Products","Y","N","1900-01-01","9999-12-31"
"5192","Books, Periodicals and Newspapers","Y","N","1900-01-01","9999-12-31"
"5193","Florists Supplies, Nursery Stock and Flowers","Y","N","1900-01-01","9999-12-31"
"5198","Paints, Varnishes and Supplies","Y","N","1900-01-01","9999-12-31"
"5199","Nondurable Goods (not elsewhere Classified)","Y","N","1900-01-01","9999-12-31"
"5200","Home Supply Warehouse Stores","Y","N","1900-01-01","9999-12-31"
"5211","Lumber and Building Materials Stores","Y","N","1900-01-01","9999-12-31"
"5231","Glass, Paint, and Wallpaper Stores","Y","N","1900-01-01","9999-12-31"
"5251","Hardware Stores","Y","N","1900-01-01","9999-12-31"
"5261","Nurseries and Lawn and Garden Supply Stores","Y","N","1900-01-01","9999-12-31"
"5262","Marketplaces","Y","N","1900-01-01","9999-12-31"
"5271","Mobile Home Dealers","Y","N","1900-01-01","9999-12-31"
"5299","Warehouse Club Gas","Y","N","1900-01-01","9999-12-31"
"5300","Wholesale Clubs","Y","N","1900-01-01","9999-12-31"
"5309","Duty Free Stores","Y","N","1900-01-01","9999-12-31"
"5310","Discount Stores","Y","N","1900-01-01","9999-12-31"
"5311","Department Stores","Y","N","1900-01-01","9999-12-31"
"5331","Variety Stores","Y","N","1900-01-01","9999-12-31"
"5399","Miscellaneous General Merchandise","Y","N","1900-01-01","9999-12-31"
"5411","Grocery Stores and Supermarkets","Y","N","1900-01-01","9999-12-31"
"5422","Freezer and Locker Meat Provisioners","Y","N","1900-01-01","9999-12-31"
"5441","Candy, Nut, and Confectionery Stores","Y","N","1900-01-01","9999-12-31"
"5451","Dairy Products Stores","Y","N","1900-01-01","9999-12-31"
"5462","Bakeries","Y","N","1900-01-01","9999-12-31"
"5499","Miscellaneous Food Stores – Convenience Stores and Specialty Markets","Y","N","1900-01-01","9999-12-31"
"5511","Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing","Y","N","1900-01-01","9999-12-31"
"5521","Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing","Y","N","1900-01-01","9999-12-31"
"5531","Auto and Home Supply Stores","Y","N","1900-01-01","9999-12-31"
"5532","Automotive Tire Stores","Y","N","1900-01-01","9999-12-31"
