"MERCHANT_CATEGORY_CODE","MERCHANT_CATEGORY_DESCRIPTION","IS_CURRENT_FLAG","IS_DELETED_FLAG","VALID_FROM_DATETIME","VALID_TO_DATETIME"
"3063","Us Airways Usairways","Y","N","1900-01-01","9999-12-31"
"3064","Adria Airways Adria Air","Y","N","1900-01-01","9999-12-31"
"3065","Airinter Airinter","Y","N","1900-01-01","9999-12-31"
"3066","Southwest Southwestair","Y","N","1900-01-01","9999-12-31"
"3067","Vanguard Airlines Vanguard Air","Y","N","1900-01-01","9999-12-31"
"3068","Air Astana Air Astana","Y","N","1900-01-01","9999-12-31"
"3069","Sun Country Airlines Suncntryair","Y","N","1900-01-01","9999-12-31"
"3070","Flydubai Flydubai","Y","N","1900-01-01","9999-12-31"
"3071","Air British Columbia Air Bc","Y","N","1900-01-01","9999-12-31"
"3072","Cebu Pacific Airlines Cebu Pac","Y","N","1900-01-01","9999-12-31"
"3073","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3075","Singapore Airlines Singaporeair","Y","N","1900-01-01","9999-12-31"
"3076","Aeromexico Aeromexico","Y","N","1900-01-01","9999-12-31"
"3077","Thai Airways Thai Airways","Y","N","1900-01-01","9999-12-31"
"3078","China Airlines China Air","Y","N","1900-01-01","9999-12-31"
"3079","Jetstar Airways Jetstar Air","Y","N","1900-01-01","9999-12-31"
"3080","Swoop Inc Flyswoop","Y","N","1900-01-01","9999-12-31"
"3081","Xiamen Airlines Xiamen Air","Y","N","1900-01-01","9999-12-31"
"3082","Korean Airlines Korean Air","Y","N","1900-01-01","9999-12-31"
"3083","Air Afrique Air Afrique","Y","N","1900-01-01","9999-12-31"
"3084","Eva Airways Eva Air","Y","N","1900-01-01","9999-12-31"
"3085","Midwest Express Airlines Midwest Exp","Y","N","1900-01-01","9999-12-31"
"3086","Carnival Airlines Carnival Air","Y","N","1900-01-01","9999-12-31"
"3087","Metro Airlines Metro Air","Y","N","1900-01-01","9999-12-31"
"3088","Croatia Airlines Croatia Air","Y","N","1900-01-01","9999-12-31"
"3089","Transaero Transaero","Y","N","1900-01-01","9999-12-31"
"3090","Uni Airways Corporation Uniair","Y","N","1900-01-01","9999-12-31"
"3092","Xiamen Airlines","Y","N","1900-01-01","9999-12-31"
"3094","Zambia Airways Zambia Air","Y","N","1900-01-01","9999-12-31"
"3095","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3096","Air Zimbabwe Air Zimbabwe","Y","N","1900-01-01","9999-12-31"
"3097","Spanair Spanair","Y","N","1900-01-01","9999-12-31"
"3098","Asiana Airlines Asiana Air","Y","N","1900-01-01","9999-12-31"
"3099","Cathay Pacific Cathaypacair","Y","N","1900-01-01","9999-12-31"
"3100","Malaysian Airline System Malay Air","Y","N","1900-01-01","9999-12-31"
"3101","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3102","Iberia Iberia Air","Y","N","1900-01-01","9999-12-31"
"3103","Garuda (Indonesia) Garuda Air","Y","N","1900-01-01","9999-12-31"
"3105","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
