Change Control,Source_System,Source_Entity,Source_Attribute,Source_Datatype,Join_Condition,Filter_Condition,Default_Value,Reference_Entity,Reference_Attribute,Mapping_Required_Flag,Transformation_Type,Transformation_Logic,Owner,Notes,Target_Domain,Target_Schema,Target_Entity,Target_Attribute,Target_Datatype,Technical_Description,Business_Description,Is_Nullable,Is_Primary_Key,Is_Business_Key,Is_Business_Data,Sensitivity,Scd_Type
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_BILLING_CYCLE,"NUMBER(38,0)",,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,BILLING_CYCLE_DATE,NUMBER (2),Specifies the day of the month when the agreement will be billed. Valid values: 1-31,Specifies the day of the month when the agreement will be billed. Valid values: 1–31,TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CRLIM,"NUMBER(38,18)",,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,CREDIT_LIMIT_AMOUNT,"NUMBER (38,7)","Specifies  maximum amount of credit that can be extended to the party under the terms of a credit arrangement.This field is mandatory for all credit type products, and optional for other product types.","Specifies  maximum amount of credit that can be extended to the party under the terms of a credit arrangement.This field is mandatory for all credit type products, and optional for other product types.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CURR_CODE,"NUMBER(38,0)",,,,REFERENCE.CORE.CURRENCY,CURRENCY_CODE,Y,LOOKUP,"LPAD(CAST(AMBS_CURR_CODE AS VARCHAR), 3, '0')",,V10 Currency Code = SOURCE_CODE from REFERENCE.CORE.CURRENCY mapping,PAY,CORE,CARD_ACCOUNT,CREDIT_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the credit limit. For example, AUD; NZD.","The currency that applies to the credit limit. For example, AUD; NZD.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,BALANCE_TRANSFER_LIMIT_AMOUNT,"NUMBER (38,7)",Represents the monetary value associated with Balance transfer,Represents the monetary value associated with Balance transfer,TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,BALANCE_TRANSFER_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the balance transfer limit. For example, AUD; NZD.","The currency that applies to the balance transfer limit. For example, AUD; NZD.",TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CASH_CRLIM,"NUMBER(38,18)",,,,,,,,,,,PAY,CORE,CARD_ACCOUNT,CASH_LIMIT_AMOUNT,"NUMBER (38,7)",maximum amount of cash you can withdraw or access as cash under the terms of a credit arrangement.,maximum amount of cash you can withdraw or access as cash under the terms of a credit arrangement.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_CURR_CODE,"NUMBER(38,0)",,,,,,,,"LPAD(CAST(AMBS_CURR_CODE AS VARCHAR), 3, '0')",,V10 Currency Code = SOURCE_CODE from REFERENCE.CORE.CURRENCY mapping,PAY,CORE,CARD_ACCOUNT,CASH_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the cash limit. For example, AUD; NZD.","The currency that applies to the cash limit. For example, AUD; NZD.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,MONEY_TRANSFER_LIMIT_AMOUNT,"NUMBER (38,7)",Represents the monetary value associated with Money transfer,Represents the monetary value associated with Money transfer,TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,No V10 source identified,PAY,CORE,CARD_ACCOUNT,MONEY_TRANSFER_LIMIT_CURRENCY_KEY,VARCHAR (64),"The currency that applies to the money transfer limit. For example, AUD; NZD.","The currency that applies to the money transfer limit. For example, AUD; NZD.",TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_DATE_CLOSED,DATE,,,,,,,,"CASE
        WHEN AMBS_DATE_CLOSED IS NOT NULL
             AND CAST(AMBS_DATE_CLOSED AS VARCHAR) NOT LIKE '%1901%'
        THEN AMBS_DATE_CLOSED
        ELSE NULL
    END AS CLOSURE_REQUEST_DATE",,,PAY,CORE,CARD_ACCOUNT,CLOSURE_REQUEST_DATE,DATE,Specifies the date sent through the account closure API to indicate when the account was closed on the host system. ISO date format (YYYY-MM-DD).,Specifies the date sent through the account closure API to indicate when the account was closed on the host system. ISO date format (YYYY-MM-DD).,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_DATE_CLOSED,DATE,,,,,,,,"CASE
        WHEN AMBS_DATE_CLOSED IS NOT NULL
             AND CAST(AMBS_DATE_CLOSED AS VARCHAR) NOT LIKE '%1901%'
        THEN AMBS_DATE_CLOSED
        ELSE NULL
    END AS CLOSURE_REQUEST_DATE",,,PAY,CORE,CARD_ACCOUNT,CLOSING_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,Specifies the date and time when the account was closed by the system. The format must be YYYY-MM-DDThh:mm:ss.sssZ.,Specifies the date and time when the account was closed by the system. The format must be YYYY-MM-DDThh:mm:ss.sssZ.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,NULL,,,,,,,Not available in V10,PAY,CORE,CARD_ACCOUNT,MESSAGE_TRACE_ID,VARCHAR (16777216),Number assigned by the message initiator that uniquely identifies a event.,Number assigned by the message initiator that uniquely identifies a event.,TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_DATE_CLOSED,,,,,,,,," CASE
        WHEN AMBS_DATE_CLOSED IS NULL
             OR CAST(AMBS_DATE_CLOSED AS VARCHAR) LIKE '%1901%'
        THEN 'Y'
        ELSE 'N'
    END AS IS_ACTIVE_IN_SOURCE_FLAG",,,PAY,CORE,CARD_ACCOUNT,IS_ACTIVE_IN_SOURCE_FLAG,VARCHAR (1),"Indicates record is active or not , Possible values are 1 ) True 2 ) False","Indicates record is active or not , Possible values are 1 ) True 2 ) False",TRUE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_ACCOUNT,IS_CURRENT_FLAG,VARCHAR (1),A flag that indicates this is the current version of the record. Y - Yes; N - No.,A flag that indicates this is the current version of the record. Y - Yes; N - No.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,N,,,,,,,20260307 Delete not implemented,PAY,CORE,CARD_ACCOUNT,IS_DELETED_FLAG,VARCHAR (1),"A flag that indicates the record has been deleted in the source system. Y - Yes, the record has been deleted;  N - No, the record has not been deleted.","A flag that indicates the record has been deleted in the source system. Y - Yes, the record has been deleted;  N - No, the record has not been deleted.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_DATE_OPENED,DATE,,,1901-01-01,,,,,,,20260307 RW from source effective from. Use default if NULL,PAY,CORE,CARD_ACCOUNT,VALID_FROM_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record became active.,The date and time on which this record became active.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,ACCOUNT_BASE_SEGMENT,AMBS_DATE_CLOSED,,,,,,,,,"CASE
        WHEN A.AMBS_DATE_CLOSED IS NOT NULL
             AND CAST(A.AMBS_DATE_CLOSED AS VARCHAR) NOT LIKE '%1901%'
        THEN CAST(A.AMBS_DATE_CLOSED AS TIMESTAMP_NTZ)
        ELSE '9999-12-31 23:59:59.999999'::TIMESTAMP_NTZ
    END AS VALID_TO_DATETIME",,20260307 RW From source effective to. Use default if null,PAY,CORE,CARD_ACCOUNT,VALID_TO_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record stopped being active.,The date and time on which this record stopped being active.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_ACCOUNT,BUSINESS_DATA_HASH,VARCHAR (64),An encrypted (hash) of the business data fields for SCD2 processing.,An encrypted (hash) of the business data fields for SCD2 processing.,FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_ACCOUNT,AUDIT_CREATED_SOURCE,VARCHAR (16777216),"The source for creating the record. This can be an application, change id and so on.","The source for creating the record. This can be an application, change id and so on.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_ACCOUNT,AUDIT_LAST_CHANGED_SOURCE,VARCHAR (16777216),"The source for updating the record. This can be an application, change id and so on. On creation, this will be the same as Audit Create Source.","The source for updating the record. This can be an application, change id and so on. On creation, this will be the same as Audit Create Source.",FALSE,FALSE,,,pii_category: NONE,1
2026-07-20 RW Rename Entity,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_ACCOUNT,AUDIT_CREATED_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record was created.,The date and time on which this record was created.,FALSE,FALSE,,,pii_category: NONE,1
,,,,,,,,,,,,,,20260826 Generated by DBT,PAY,CORE,CARD_ACCOUNT,AUDIT_LAST_CHANGED_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record was last changed. Last Changed Datetime = Created Datetime when the record is first created.,The date and time on which this record was last changed. Last Changed Datetime = Created Datetime when the record is first created.,FALSE,FALSE,,,pii_category: NONE,1
,,,,,,,,,,,,,,20260826 Generated by DBT,PAY,CORE,CARD_ACCOUNT,AUDIT_DATA_PROCESS_KEY,VARCHAR (64),The primary key of the process that created/changed the record.,The primary key of the process that created/changed the record.,FALSE,FALSE,,,pii_category: NONE,1
