SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V8,3684,Budget Host Inns,REFERENCE.CORE.MERCHANT_CATEGORY,3684,Budget Host Inns
V8,3681,Adams Mark Hotels,REFERENCE.CORE.MERCHANT_CATEGORY,3681,Adams Mark Hotels
V8,3680,Hoteis Othan,REFERENCE.CORE.MERCHANT_CATEGORY,3680,Hoteis Othan
V8,3679,Silver Legacy Hotel And Casino,REFERENCE.CORE.MERCHANT_CATEGORY,3679,Silver Legacy Hotel and Casino
V8,3678,Cumulus Hotels,REFERENCE.CORE.MERCHANT_CATEGORY,3678,Cumulus Hotels
V8,3677,Climat De France Hotels,REFERENCE.CORE.MERCHANT_CATEGORY,3677,Climat De France Hotels
V8,3676,Monte Carlo Hotel And Casino,REFERENCE.CORE.MERCHANT_CATEGORY,3676,Monte Carlo Hotel and Casino
V8,3674,Rantasipi Hotels,REFERENCE.CORE.MERCHANT_CATEGORY,3674,Rantasipi Hotels
V8,3672,Campanile Hotels,REFERENCE.CORE.MERCHANT_CATEGORY,3672,Campanile Hotels
V8,3668,Maritim Hotels,REFERENCE.CORE.MERCHANT_CATEGORY,3668,Maritim Hotels
V8,3667,Luxhor Hotel And Casino,REFERENCE.CORE.MERCHANT_CATEGORY,3667,Luxor Hotel and Casino
V8,3665,Hampton Inns,REFERENCE.CORE.MERCHANT_CATEGORY,3665,Hampton Inns
V8,3664,Flag Inn,REFERENCE.CORE.MERCHANT_CATEGORY,3664,Flag Inn
