SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V2,061,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,062,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,063,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,064,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,065,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,066,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,072,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,077,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,078,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,083,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,089,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,090,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,093,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,096,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,098,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,101,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,110,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,111,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,114,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,121,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,125,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,126,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,140,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,141,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,151,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,160,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,161,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,162,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,163,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,200,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,201,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,216,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,221,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,226,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,227,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,228,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,241,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,250,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,300,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,301,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,302,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,303,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,304,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,305,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,306,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,307,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,308,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,309,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,310,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,311,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,312,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,313,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,314,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,315,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,316,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,317,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,318,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,319,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,324,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,325,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,326,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,330,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,331,David Jones,REFERENCE.CORE.BRAND,DJNAU,David Jones
