CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,V8,973,Kwanza,REFERENCE.CORE.CURRENCY,AOA,Kwanza
,V8,104,Kyat,REFERENCE.CORE.CURRENCY,BUK,Kyat
,V8,981,Lari,REFERENCE.CORE.CURRENCY,GEL,Lari
,V8,428,Latvian Lats,REFERENCE.CORE.CURRENCY,LVL,Latvian Lats
,V8,422,Lebanese Pound,REFERENCE.CORE.CURRENCY,LBP,Lebanese Pound
,V8,340,Lempira,REFERENCE.CORE.CURRENCY,HNL,Lempira
,V8,694,Leone,REFERENCE.CORE.CURRENCY,SLL,Leone
,V8,925,Leone,REFERENCE.CORE.CURRENCY,SLE,Leone
,V8,434,Libyan Dinar,REFERENCE.CORE.CURRENCY,LYD,Libyan Dinar
,V8,440,Lithuanian Litas,REFERENCE.CORE.CURRENCY,LTL,Lithuanian Litas
,V8,969,Malagasy Ariary,REFERENCE.CORE.CURRENCY,MGA,Malagasy Ariary
,V8,458,Malaysian Ringgit,REFERENCE.CORE.CURRENCY,MYR,Malaysian Ringgit
,V8,462,Maldive Rupee,REFERENCE.CORE.CURRENCY,MVQ,Maldive Rupee
,V8,480,Mauritius Rupee,REFERENCE.CORE.CURRENCY,MUR,Mauritius Rupee
,V8,484,Mexican Peso,REFERENCE.CORE.CURRENCY,MXN,Mexican Peso
,V8,498,Moldovan Leu,REFERENCE.CORE.CURRENCY,MDL,Moldovan Leu
,V8,504,Moroccan Dirham,REFERENCE.CORE.CURRENCY,MAD,Moroccan Dirham
,V8,943,Mozambique Metical,REFERENCE.CORE.CURRENCY,MZN,Mozambique Metical
,V8,566,Naira,REFERENCE.CORE.CURRENCY,NGN,Naira
,V8,516,Namibia Dollar,REFERENCE.CORE.CURRENCY,NAD,Namibia Dollar
,V8,524,Nepalese Rupee,REFERENCE.CORE.CURRENCY,NPR,Nepalese Rupee
,V8,532,Netherlands Antillean Guilder,REFERENCE.CORE.CURRENCY,ANG,Netherlands Antillean Guilder
,V8,946,New Romanian Leu ,REFERENCE.CORE.CURRENCY,RON,New Romanian Leu 
,V8,901,New Taiwan Dollar,REFERENCE.CORE.CURRENCY,TWD,New Taiwan Dollar
,V8,949,New Turkish Lira,REFERENCE.CORE.CURRENCY,TRY,New Turkish Lira
,V8,554,New Zealand Dollar,REFERENCE.CORE.CURRENCY,NZD,New Zealand Dollar
,V8,064,Ngultrum,REFERENCE.CORE.CURRENCY,BTN,Ngultrum
,V8,578,Norwegian Krone,REFERENCE.CORE.CURRENCY,NOK,Norwegian Krone
,V8,704,Old Dong,REFERENCE.CORE.CURRENCY,VNC,Old Dong
